rank_among_candidates,candidate_pattern,candidate_rank,best_match_pattern,best_match_rank,pair_distance_l2,feature,candidate_value,best_match_value,abs_diff,signed_diff_candidate_minus_match
2,top23_193,23,top4_192,4,1.0209799214480175,pct_read_only_files,0.0,0.0,0.0,0.0
2,top23_193,23,top4_192,4,1.0209799214480175,pct_read_write_files,0.0,0.0,0.0,0.0
2,top23_193,23,top4_192,4,1.0209799214480175,pct_reads,0.0,0.0,0.0,0.0
2,top23_193,23,top4_192,4,1.0209799214480175,pct_rw_switches,0.0,0.0,0.0,0.0
2,top23_193,23,top4_192,4,1.0209799214480175,pct_seq_reads,0.0,0.0,0.0,0.0
2,top23_193,23,top4_192,4,1.0209799214480175,pct_seq_writes,1.0,1.0,0.0,0.0
2,top23_193,23,top4_192,4,1.0209799214480175,pct_shared_files,1.0,1.0,0.0,0.0
2,top23_193,23,top4_192,4,1.0209799214480175,pct_unique_files,0.0,0.0,0.0,0.0
2,top23_193,23,top4_192,4,1.0209799214480175,pct_write_0_100K,0.0,0.0,0.0,0.0
2,top23_193,23,top4_192,4,1.0209799214480175,pct_write_100K_10M,1.0,1.0,0.0,0.0
2,top23_193,23,top4_192,4,1.0209799214480175,pct_write_10M_1G_PLUS,0.0,0.0,0.0,0.0
2,top23_193,23,top4_192,4,1.0209799214480175,pct_write_only_files,1.0,1.0,0.0,0.0
2,top23_193,23,top4_192,4,1.0209799214480175,pct_writes,1.0,1.0,0.0,0.0
3,top10_252,10,top1_101,1,1.1483466375620213,pct_byte_reads,1.0,1.0,0.0,0.0
3,top10_252,10,top1_101,1,1.1483466375620213,pct_byte_writes,0.0,0.0,0.0,0.0
3,top10_252,10,top1_101,1,1.1483466375620213,pct_bytes_read_only_files,1.0,1.0,0.0,0.0
3,top10_252,10,top1_101,1,1.1483466375620213,pct_bytes_read_write_files,0.0,0.0,0.0,0.0
3,top10_252,10,top1_101,1,1.1483466375620213,pct_bytes_shared_files,1.0,1.0,0.0,0.0
3,top10_252,10,top1_101,1,1.1483466375620213,pct_bytes_unique_files,0.0,0.0,0.0,0.0
3,top10_252,10,top1_101,1,1.1483466375620213,pct_bytes_write_only_files,0.0,0.0,0.0,0.0
3,top10_252,10,top1_101,1,1.1483466375620213,pct_consec_reads,0.0,0.5,0.5,-0.5
3,top10_252,10,top1_101,1,1.1483466375620213,pct_consec_writes,0.0,0.0,0.0,0.0
3,top10_252,10,top1_101,1,1.1483466375620213,pct_file_not_aligned,0.33,0.6,0.26999999999999996,-0.26999999999999996
3,top10_252,10,top1_101,1,1.1483466375620213,pct_io_access,0.17,0.18,0.009999999999999981,-0.009999999999999981
3,top10_252,10,top1_101,1,1.1483466375620213,pct_mem_not_aligned,0.0,0.4,0.4,-0.4
3,top10_252,10,top1_101,1,1.1483466375620213,pct_meta_open_access,0.5,0.43,0.07,0.07
3,top10_252,10,top1_101,1,1.1483466375620213,pct_meta_seek_access,0.33,0.18,0.15000000000000002,0.15000000000000002
3,top10_252,10,top1_101,1,1.1483466375620213,pct_meta_stat_access,0.0,0.07,0.07,-0.07
3,top10_252,10,top1_101,1,1.1483466375620213,pct_meta_sync_access,0.0,0.14,0.14,-0.14
3,top10_252,10,top1_101,1,1.1483466375620213,pct_read_0_100K,0.0,0.5,0.5,-0.5
3,top10_252,10,top1_101,1,1.1483466375620213,pct_read_100K_10M,0.0,0.0,0.0,0.0
3,top10_252,10,top1_101,1,1.1483466375620213,pct_read_10M_1G_PLUS,1.0,0.5,0.5,0.5
3,top10_252,10,top1_101,1,1.1483466375620213,pct_read_only_files,0.67,0.67,0.0,0.0
3,top10_252,10,top1_101,1,1.1483466375620213,pct_read_write_files,0.0,0.0,0.0,0.0
3,top10_252,10,top1_101,1,1.1483466375620213,pct_reads,0.67,0.8,0.13,-0.13
3,top10_252,10,top1_101,1,1.1483466375620213,pct_rw_switches,0.0,0.0,0.0,0.0
3,top10_252,10,top1_101,1,1.1483466375620213,pct_seq_reads,0.0,0.5,0.5,-0.5
3,top10_252,10,top1_101,1,1.1483466375620213,pct_seq_writes,1.0,1.0,0.0,0.0
3,top10_252,10,top1_101,1,1.1483466375620213,pct_shared_files,1.0,1.0,0.0,0.0
3,top10_252,10,top1_101,1,1.1483466375620213,pct_unique_files,0.0,0.0,0.0,0.0
3,top10_252,10,top1_101,1,1.1483466375620213,pct_write_0_100K,1.0,1.0,0.0,0.0
3,top10_252,10,top1_101,1,1.1483466375620213,pct_write_100K_10M,0.0,0.0,0.0,0.0
3,top10_252,10,top1_101,1,1.1483466375620213,pct_write_10M_1G_PLUS,0.0,0.0,0.0,0.0
3,top10_252,10,top1_101,1,1.1483466375620213,pct_write_only_files,0.33,0.33,0.0,0.0
3,top10_252,10,top1_101,1,1.1483466375620213,pct_writes,0.33,0.2,0.13,0.13
4,top11_249,11,top4_192,4,1.4164038971988182,pct_byte_reads,0.0,0.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_byte_writes,1.0,1.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_bytes_read_only_files,0.0,0.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_bytes_read_write_files,0.0,0.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_bytes_shared_files,1.0,1.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_bytes_unique_files,0.0,0.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_bytes_write_only_files,1.0,1.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_consec_reads,0.0,0.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_consec_writes,0.0,1.0,1.0,-1.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_file_not_aligned,1.0,0.0,1.0,1.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_io_access,0.92,0.98,0.05999999999999994,-0.05999999999999994
4,top11_249,11,top4_192,4,1.4164038971988182,pct_mem_not_aligned,0.0,0.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_meta_open_access,0.04,0.01,0.03,0.03
4,top11_249,11,top4_192,4,1.4164038971988182,pct_meta_seek_access,0.0,0.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_meta_stat_access,0.0,0.01,0.01,-0.01
4,top11_249,11,top4_192,4,1.4164038971988182,pct_meta_sync_access,0.04,0.0,0.04,0.04
4,top11_249,11,top4_192,4,1.4164038971988182,pct_read_0_100K,0.0,0.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_read_100K_10M,0.0,0.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_read_10M_1G_PLUS,0.0,0.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_read_only_files,0.0,0.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_read_write_files,0.0,0.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_reads,0.0,0.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_rw_switches,0.0,0.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_seq_reads,0.0,0.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_seq_writes,1.0,1.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_shared_files,1.0,1.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_unique_files,0.0,0.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_write_0_100K,0.0,0.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_write_100K_10M,1.0,1.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_write_10M_1G_PLUS,0.0,0.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_write_only_files,1.0,1.0,0.0,0.0
4,top11_249,11,top4_192,4,1.4164038971988182,pct_writes,1.0,1.0,0.0,0.0
5,top24_138,24,top1_101,1,1.4750593208410299,pct_byte_reads,0.86,1.0,0.14,-0.14
5,top24_138,24,top1_101,1,1.4750593208410299,pct_byte_writes,0.14,0.0,0.14,0.14
5,top24_138,24,top1_101,1,1.4750593208410299,pct_bytes_read_only_files,0.84,1.0,0.16000000000000003,-0.16000000000000003
5,top24_138,24,top1_101,1,1.4750593208410299,pct_bytes_read_write_files,0.03,0.0,0.03,0.03
5,top24_138,24,top1_101,1,1.4750593208410299,pct_bytes_shared_files,1.0,1.0,0.0,0.0
5,top24_138,24,top1_101,1,1.4750593208410299,pct_bytes_unique_files,0.0,0.0,0.0,0.0
5,top24_138,24,top1_101,1,1.4750593208410299,pct_bytes_write_only_files,0.13,0.0,0.13,0.13
5,top24_138,24,top1_101,1,1.4750593208410299,pct_consec_reads,0.97,0.5,0.47,0.47
5,top24_138,24,top1_101,1,1.4750593208410299,pct_consec_writes,0.05,0.0,0.05,0.05
5,top24_138,24,top1_101,1,1.4750593208410299,pct_file_not_aligned,0.95,0.6,0.35,0.35
5,top24_138,24,top1_101,1,1.4750593208410299,pct_io_access,0.45,0.18,0.27,0.27
5,top24_138,24,top1_101,1,1.4750593208410299,pct_mem_not_aligned,0.0,0.4,0.4,-0.4
5,top24_138,24,top1_101,1,1.4750593208410299,pct_meta_open_access,0.46,0.43,0.030000000000000027,0.030000000000000027
5,top24_138,24,top1_101,1,1.4750593208410299,pct_meta_seek_access,0.0,0.18,0.18,-0.18
5,top24_138,24,top1_101,1,1.4750593208410299,pct_meta_stat_access,0.04,0.07,0.030000000000000006,-0.030000000000000006
5,top24_138,24,top1_101,1,1.4750593208410299,pct_meta_sync_access,0.04,0.14,0.1,-0.1
5,top24_138,24,top1_101,1,1.4750593208410299,pct_read_0_100K,1.0,0.5,0.5,0.5
5,top24_138,24,top1_101,1,1.4750593208410299,pct_read_100K_10M,0.0,0.0,0.0,0.0
5,top24_138,24,top1_101,1,1.4750593208410299,pct_read_10M_1G_PLUS,0.0,0.5,0.5,-0.5
5,top24_138,24,top1_101,1,1.4750593208410299,pct_read_only_files,0.17,0.67,0.5,-0.5
5,top24_138,24,top1_101,1,1.4750593208410299,pct_read_write_files,0.35,0.0,0.35,0.35
5,top24_138,24,top1_101,1,1.4750593208410299,pct_reads,0.96,0.8,0.15999999999999992,0.15999999999999992
5,top24_138,24,top1_101,1,1.4750593208410299,pct_rw_switches,0.02,0.0,0.02,0.02
5,top24_138,24,top1_101,1,1.4750593208410299,pct_seq_reads,0.97,0.5,0.47,0.47
5,top24_138,24,top1_101,1,1.4750593208410299,pct_seq_writes,0.45,1.0,0.55,-0.55
5,top24_138,24,top1_101,1,1.4750593208410299,pct_shared_files,1.0,1.0,0.0,0.0
5,top24_138,24,top1_101,1,1.4750593208410299,pct_unique_files,0.0,0.0,0.0,0.0
5,top24_138,24,top1_101,1,1.4750593208410299,pct_write_0_100K,0.99,1.0,0.010000000000000009,-0.010000000000000009
5,top24_138,24,top1_101,1,1.4750593208410299,pct_write_100K_10M,0.01,0.0,0.01,0.01
5,top24_138,24,top1_101,1,1.4750593208410299,pct_write_10M_1G_PLUS,0.0,0.0,0.0,0.0
5,top24_138,24,top1_101,1,1.4750593208410299,pct_write_only_files,0.48,0.33,0.14999999999999997,0.14999999999999997
5,top24_138,24,top1_101,1,1.4750593208410299,pct_writes,0.04,0.2,0.16,-0.16
